10,Lucky
11,Unlucky
12,Unlucky
13,Lucky
14,Lucky
15,Lucky
16,Lucky
17,Lucky
18,Unlucky
19,Lucky
20,Lucky
21,Lucky
22,Unlucky
23,Lucky
24,Lucky
25,Unlucky
26,Unlucky
27,Lucky
28,Unlucky
29,Unlucky
30,Both
31,Both
32,Lucky
33,Unlucky
34,Lucky
35,Unlucky
36,Lucky
37,Lucky
38,Unlucky
39,Both
40,Both
41,Lucky
42,Lucky
43,Unlucky
44,Unlucky
45,Lucky
46,Lucky
47,Unlucky
48,Both
49,Both
50,Lucky
51,Lucky
52,Unlucky
53,Lucky
54,Lucky
55,Lucky
56,Both
57,Lucky
58,Lucky
59,Lucky
60,Lucky
61,Lucky
62,Lucky
63,Both
64,Lucky
65,Both
66,Lucky
67,Lucky
68,Lucky
69,Lucky
70,Lucky